asmt,fee_parcel,address,county,year,tra,roll_cat,verified_score,confidence,v_total_due,v_total_paid,v_total_balance,v_inst1_status,v_inst2_status,v_delinquent,verified_url,verified_at
800-009-553-000,107-300-033-000,1611 HILLTOP DR #K,shasta,2025,1108,DU,HOT,0.95,"$1,951.16",$0.00,"$1,951.16",LATE,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800009553000/2025/0000,2026-07-01T18:11:26.065774
107-300-038-000,107-300-038-000,1620 CANBY RD,shasta,2025,1108,CS,HOT,0.95,"$1,942.76",$0.00,"$1,942.76",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/107300038000/2025/0000,2026-07-01T18:11:33.606508
094-350-004-000,094-350-004-000,29864 WESTMOORE RD,shasta,2025,57011,CS,HOT,0.95,"$1,933.88",$0.00,"$1,933.88",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/094350004000/2025/0000,2026-07-01T17:35:02.703182
005-250-061-000,005-250-061-000,4765 SHASTA DAM BLVD,shasta,2025,3026,CS,HOT,0.95,"$3,830.82","$1,898.41","$1,932.41",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250061000/2025/0000,2026-07-01T06:50:29.170659
102-100-019-000,102-100-019-000,2390 ATHENS AVE,shasta,2025,1000,CS,HOT,0.95,"$1,912.26",$0.00,"$1,912.26",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/102100019000/2025/0000,2026-07-01T17:47:03.517903
990-183-290-000,054-150-054-000,4891 ALTA SAGA DR,shasta,2025,1050,SS,HOT,0.95,"$1,909.38",$0.00,"$1,909.38",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990183290000/2025/0000,2026-07-01T07:59:13.664093
079-450-004-000,079-450-004-000,21632 OLD ALTURAS RD,shasta,2025,56002,CS,HOT,0.95,"$3,782.06","$1,874.03","$1,908.03",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/079450004000/2025/0000,2026-07-01T17:14:53.759508
101-750-008-000,101-750-008-000,1440 LINCOLN ST,shasta,2025,1249,CS,HOT,0.95,"$1,899.92",$0.00,"$1,899.92",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/101750008000/2025/0000,2026-07-01T17:45:21.622244
990-182-697-000,104-600-014-000,3525 ELIZABETH WAY,shasta,2025,1000,SS,HOT,0.95,"$1,890.28",$0.00,"$1,890.28",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990182697000/2025/0000,2026-07-01T18:04:03.182746
054-050-016-000,054-050-016-000,8980 CHRISTOPHER LN,shasta,2025,91000,CS,HOT,0.95,"$1,890.22",$0.00,"$1,890.22",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/054050016000/2025/0000,2026-07-01T07:57:42.634796
