asmt,fee_parcel,address,county,year,tra,roll_cat,verified_score,confidence,v_total_due,v_total_paid,v_total_balance,v_inst1_status,v_inst2_status,v_delinquent,verified_url,verified_at
068-200-036-000,068-200-036-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068200036000/2025/0000,2026-07-01T16:40:09.741225
068-250-004-000,068-250-004-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250004000/2025/0000,2026-07-01T16:40:10.363346
068-250-006-000,068-250-006-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250006000/2025/0000,2026-07-01T16:40:10.975296
068-250-008-000,068-250-008-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250008000/2025/0000,2026-07-01T16:40:11.559321
068-250-010-000,068-250-010-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250010000/2025/0000,2026-07-01T16:40:14.897230
068-250-012-000,068-250-012-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250012000/2025/0000,2026-07-01T16:40:15.672299
068-250-014-000,068-250-014-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250014000/2025/0000,2026-07-01T16:40:16.474007
068-250-017-000,068-250-017-000,,shasta,2025,1262,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250017000/2025/0000,2026-07-01T16:40:17.142478
068-250-019-000,068-250-019-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250019000/2025/0000,2026-07-01T16:40:18.390985
068-250-021-000,068-250-021-000,,shasta,2025,1262,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250021000/2025/0000,2026-07-01T16:40:19.024331
068-250-026-000,068-250-026-000,,shasta,2025,1262,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250026000/2025/0000,2026-07-01T16:40:19.645856
068-250-028-000,068-250-028-000,,shasta,2025,1262,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250028000/2025/0000,2026-07-01T16:40:20.281617
068-250-030-000,068-250-030-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250030000/2025/0000,2026-07-01T16:40:21.556956
068-250-031-000,068-250-031-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250031000/2025/0000,2026-07-01T16:40:22.169723
068-250-032-000,068-250-032-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250032000/2025/0000,2026-07-01T16:40:22.979036
068-250-035-000,068-250-035-000,,shasta,2025,1262,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068250035000/2025/0000,2026-07-01T16:40:24.919491
800-001-346-000,068-250-039-000,4140 CHURN CREEK RD,shasta,2025,1262,CU,HOT,0.85,"$1,305.78","$1,305.78",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800001346000/2025/0000,2026-07-01T16:40:26.872453
800-014-208-000,068-300-007-000,1234 GORDON LN,shasta,2025,1262,CU,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800014208000/2025/0000,2026-07-01T16:40:28.263465
068-300-008-000,068-300-008-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068300008000/2025/0000,2026-07-01T16:40:28.890915
068-300-010-000,068-300-010-000,,shasta,2025,1262,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068300010000/2025/0000,2026-07-01T16:40:29.540091
068-300-014-000,068-300-014-000,,shasta,2025,1262,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068300014000/2025/0000,2026-07-01T16:40:32.372058
068-300-016-000,068-300-016-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068300016000/2025/0000,2026-07-01T16:40:33.673057
068-300-018-000,068-300-018-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068300018000/2025/0000,2026-07-01T16:40:34.993387
