asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at
005-050-044-000,5050044000,1840 HARDENBROOK AVE,2025,0,3026,CS,005-050-044-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050044000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-046-000,5050046000,4395 FORT PECK ST,2025,0,3026,CS,005-050-046-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050046000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-047-000,5050047000,4300 FORT PECK ST,2025,0,3026,CS,005-050-047-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050047000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-048-000,5050048000,1821 LOCUST AVE,2025,0,3026,CS,005-050-048-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050048000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-049-000,5050049000,4371 FORT PECK ST,2025,0,3026,CS,005-050-049-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050049000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-050-000,5050050000,4383 FORT PECK ST,2025,0,3026,CS,005-050-050-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050050000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-051-000,5050051000,1713 LOCUST AVE,2025,0,3026,CS,005-050-051-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050051000/2025/0000,shasta,2026-07-01T05:02:41.090459
800-013-725-000,800013725000,1954 FERRY ST,2025,0,3026,DU,005-050-051-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800013725000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-052-000,5050052000,1701 LOCUST AVE,2025,0,3026,CS,005-050-052-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050052000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-055-000,5050055000,1833 LOCUST AVE,2025,0,3026,CS,005-050-055-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050055000/2025/0000,shasta,2026-07-01T05:02:41.090459
990-184-493-000,990184493000,1833 LOCUST AVE,2025,0,3026,SS,005-050-055-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990184493000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-056-000,5050056000,1833 LOCUST AVE,2025,0,3026,CS,005-050-056-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050056000/2025/0000,shasta,2026-07-01T05:02:41.090459
990-184-494-000,990184494000,1833 LOCUST AVE,2025,0,3026,SS,005-050-056-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990184494000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-100-002-000,5100002000,1760 ASHBY RD,2025,0,3026,CS,005-100-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100002000/2025/0000,shasta,2026-07-01T05:02:42.035368
005-100-003-000,5100003000,4013 LOS GATOS AVE,2025,0,3026,CS,005-100-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100003000/2025/0000,shasta,2026-07-01T05:02:42.035368
005-100-004-000,5100004000,,2025,0,3026,CS,005-100-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100004000/2025/0000,shasta,2026-07-01T05:02:42.035368
005-100-005-000,5100005000,,2025,0,3026,CS,005-100-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100005000/2025/0000,shasta,2026-07-01T05:02:42.035368
005-100-006-000,5100006000,,2025,0,3026,CS,005-100-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100006000/2025/0000,shasta,2026-07-01T05:02:42.035368
005-100-007-000,5100007000,,2025,0,3026,CS,005-100-007-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100007000/2025/0000,shasta,2026-07-01T05:02:42.035368
