asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at,verified_url,verified_at,v_inst1_status,v_inst1_total_due,v_inst1_paid,v_inst1_balance,v_inst2_status,v_inst2_total_due,v_inst2_paid,v_inst2_balance,v_total_due,v_total_paid,v_total_balance,v_delinquent,v_fetch_error,verified_score,confidence
005-050-046-000,5050046000,4395 FORT PECK ST,2025,0,3026,CS,005-050-046-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050046000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050046000/2025/0000,2026-07-01T06:48:44.656733,PAID,"$1,720.61","$1,720.61",$0.00,PAID,"$1,720.61","$1,720.61",$0.00,"$3,441.22","$3,441.22",$0.00,False,,COLD,0.92
005-050-047-000,5050047000,4300 FORT PECK ST,2025,0,3026,CS,005-050-047-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050047000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050047000/2025/0000,2026-07-01T06:48:45.295947,PAID,$836.34,$836.34,$0.00,PAID,$836.34,$836.34,$0.00,"$1,672.68","$1,672.68",$0.00,False,,COLD,0.92
005-050-048-000,5050048000,1821 LOCUST AVE,2025,0,3026,CS,005-050-048-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050048000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050048000/2025/0000,2026-07-01T06:48:45.988770,PAID,"$1,475.26","$1,475.26",$0.00,PAID,"$1,475.26","$1,475.26",$0.00,"$2,950.52","$2,950.52",$0.00,False,,COLD,0.92
005-050-049-000,5050049000,4371 FORT PECK ST,2025,0,3026,CS,005-050-049-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050049000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050049000/2025/0000,2026-07-01T06:48:46.623873,PAID,$726.84,$726.84,$0.00,PAID,$726.84,$726.84,$0.00,"$1,453.68","$1,453.68",$0.00,False,,COLD,0.92
005-050-050-000,5050050000,4383 FORT PECK ST,2025,0,3026,CS,005-050-050-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050050000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050050000/2025/0000,2026-07-01T06:48:47.287261,PAID,"$1,116.98","$1,116.98",$0.00,PAID,"$1,116.98","$1,116.98",$0.00,"$2,233.96","$2,233.96",$0.00,False,,COLD,0.92
005-050-051-000,5050051000,1713 LOCUST AVE,2025,0,3026,CS,005-050-051-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050051000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050051000/2025/0000,2026-07-01T06:48:47.970312,PAID,$952.12,$952.12,$0.00,PAID,$952.12,$952.12,$0.00,"$1,904.24","$1,904.24",$0.00,False,,COLD,0.92
800-013-725-000,800013725000,1954 FERRY ST,2025,0,3026,DU,005-050-051-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800013725000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/800013725000/2025/0000,2026-07-01T06:48:48.638426,PAID,$99.34,$99.34,$0.00,Delinquent,$0.00,$0.00,$0.00,$99.34,$99.34,$0.00,True,,HOT,0.85
005-050-052-000,5050052000,1701 LOCUST AVE,2025,0,3026,CS,005-050-052-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050052000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050052000/2025/0000,2026-07-01T06:48:49.313216,PAID,$581.93,$581.93,$0.00,PAID,$581.93,$581.93,$0.00,"$1,163.86","$1,163.86",$0.00,False,,COLD,0.92
005-050-055-000,5050055000,1833 LOCUST AVE,2025,0,3026,CS,005-050-055-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050055000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050055000/2025/0000,2026-07-01T06:48:49.973272,PAID,$351.24,$351.24,$0.00,PAID,$351.24,$351.24,$0.00,$702.48,$702.48,$0.00,False,,COLD,0.92
990-184-493-000,990184493000,1833 LOCUST AVE,2025,0,3026,SS,005-050-055-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990184493000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/990184493000/2025/0000,2026-07-01T06:48:50.652886,PAID,"$1,052.20","$1,052.20",$0.00,PAID,"$1,052.20","$1,052.20",$0.00,"$2,104.40","$2,104.40",$0.00,False,,COLD,0.92
005-050-056-000,5050056000,1833 LOCUST AVE,2025,0,3026,CS,005-050-056-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050056000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050056000/2025/0000,2026-07-01T06:48:51.300935,PAID,$139.23,$139.23,$0.00,PAID,$139.23,$139.23,$0.00,$278.46,$278.46,$0.00,False,,COLD,0.92
990-184-494-000,990184494000,1833 LOCUST AVE,2025,0,3026,SS,005-050-056-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990184494000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/990184494000/2025/0000,2026-07-01T06:48:51.963634,PAID,$63.72,$63.72,$0.00,PAID,$63.72,$63.72,$0.00,$127.44,$127.44,$0.00,False,,COLD,0.92
005-100-002-000,5100002000,1760 ASHBY RD,2025,0,3026,CS,005-100-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100002000/2025/0000,shasta,2026-07-01T05:02:42.035368,https://common2.mptsweb.com/MBC/shasta/tax/main/005100002000/2025/0000,2026-07-01T06:48:52.645070,PAID,$341.33,$341.33,$0.00,PAID,$341.33,$341.33,$0.00,$682.66,$682.66,$0.00,False,,COLD,0.92
005-100-003-000,5100003000,4013 LOS GATOS AVE,2025,0,3026,CS,005-100-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100003000/2025/0000,shasta,2026-07-01T05:02:42.035368,https://common2.mptsweb.com/MBC/shasta/tax/main/005100003000/2025/0000,2026-07-01T06:48:53.343413,PAID,$700.31,$700.31,$0.00,PAID,$700.31,$700.31,$0.00,"$1,400.62","$1,400.62",$0.00,False,,COLD,0.92
005-100-004-000,5100004000,,2025,0,3026,CS,005-100-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100004000/2025/0000,shasta,2026-07-01T05:02:42.035368,https://common2.mptsweb.com/MBC/shasta/tax/main/005100004000/2025/0000,2026-07-01T06:48:54.000902,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
005-100-005-000,5100005000,,2025,0,3026,CS,005-100-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100005000/2025/0000,shasta,2026-07-01T05:02:42.035368,https://common2.mptsweb.com/MBC/shasta/tax/main/005100005000/2025/0000,2026-07-01T06:48:54.646639,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
005-100-006-000,5100006000,,2025,0,3026,CS,005-100-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100006000/2025/0000,shasta,2026-07-01T05:02:42.035368,https://common2.mptsweb.com/MBC/shasta/tax/main/005100006000/2025/0000,2026-07-01T06:48:55.290998,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
